year,longitude,latitude,months,avg temp
2012,77.02,-76.42,4,-43.92
2012,106.8666666,-78.45,11,-40.56
2012,77.02,-76.42,3,-40.14
2012,77.02,-76.42,1,-30.71
2012,123.3666666,-75.1166666,12,-25.22
2012,123.3666666,-75.1166666,11,-38.75
2012,106.8666666,-78.45,8,-70.94
2012,106.8666666,-78.45,7,-69.9
2012,106.8666666,-78.45,6,-68.64
2012,106.8666666,-78.45,5,-67.97
2012,106.8666666,-78.45,4,-65.47
2012,106.8666666,-78.45,3,-58.54
2012,77.02,-76.42,2,-34.4
2012,89.6666666,-89.0,11,-34.04
2012,106.8666666,-78.45,12,-29.99
2012,43.05,-74.0166666,10,-42.71
2012,123.3666666,-75.1166666,2,-40.02
2012,123.3666666,-75.1166666,3,-54.51
2012,123.3666666,-75.1166666,4,-62.8
2012,123.3666666,-75.1166666,5,-63.74
2012,106.8666666,-78.45,1,-31.97
2012,123.3666666,-75.1166666,7,-69.69
2012,123.3666666,-75.1166666,8,-64.44
2012,123.3666666,-75.1166666,9,-62.91
2012,123.3666666,-75.1166666,10,-51.12
2012,89.6666666,-89.0,12,-22.32
2012,77.02,-76.42,12,-35.88
2012,43.05,-74.0166666,1,-28.57
2012,43.05,-74.0166666,2,-35.46
2012,43.05,-74.0166666,3,-47.73
2012,43.05,-74.0166666,4,-54.94
2012,43.05,-74.0166666,5,-56.68
2012,43.05,-74.0166666,6,-54.75
2012,43.05,-74.0166666,7,-61.21
2012,43.05,-74.0166666,8,-53.61
2012,43.05,-74.0166666,9,-54.52
2012,77.02,-76.42,11,-42.39
2012,123.3666666,-75.1166666,6,-61.92
2012,106.8666666,-78.45,10,-55.19
2012,145.8666666,-75.5333333,2,-37.44
2012,-60.1666666,-72.2,9,-8.91
2012,-60.1666666,-72.2,2,-9.58
2012,-59.15,-75.8666666,7,-34.52
2012,-59.15,-75.8666666,6,-32.17
2012,-59.15,-75.8666666,5,-33.77
2012,-60.1666666,-72.2,3,-11.7
2012,-60.1666666,-72.2,12,-5.02
2012,-60.1666666,-72.2,4,-18.26
2012,-13.05,-82.7666666,1,-21.21
2012,-60.1666666,-72.2,6,-25.38
2012,-60.1666666,-72.2,7,-27.25
2012,145.8666666,-75.5333333,1,-26.21
2012,-71.4833333,-74.8,12,-11.69
2012,-71.4833333,-74.8,11,-17.65
2012,-59.15,-75.8666666,4,-31.83
2012,-71.4833333,-74.8,10,-23.12
2012,-71.4833333,-74.8,8,
2012,-71.4833333,-74.8,7,
2012,-71.4833333,-74.8,6,-32.06
2012,-71.4833333,-74.8,5,-20.69
2012,-71.4833333,-74.8,4,-19.57
2012,-71.4833333,-74.8,3,-16.26
2012,-71.4833333,-74.8,2,-16.78
2012,-71.4833333,-74.8,1,-13.37
2012,-60.1666666,-72.2,1,-6.07
2012,-13.05,-82.7666666,2,-28.25
2012,-13.05,-82.7666666,12,-17.63
2012,-34.6166666,-77.8666666,4,-19.41
2012,-68.2833333,-71.3166666,12,-2.52
2012,-68.2833333,-71.3166666,11,-7.78
2012,-71.4833333,-74.8,9,-25.92
2012,-68.2833333,-71.3166666,10,-12.11
2012,-59.15,-75.8666666,3,-18.25
2012,-13.3833333,-73.05,10,-14.94
2012,-34.6166666,-77.8666666,5,-18.43
2012,-34.6166666,-77.8666666,6,-16.29
2012,-34.6166666,-77.8666666,7,-23.59
2012,-34.6166666,-77.8666666,8,-22.2
2012,-34.6166666,-77.8666666,9,-18.01
2012,-34.6166666,-77.8666666,10,-12.32
2012,-34.6166666,-77.8666666,11,-6.41
2012,-34.6166666,-77.8666666,12,-3.06
2012,-59.15,-75.8666666,8,-35.51
2012,-34.6166666,-77.8666666,1,-3.82
2012,-34.6166666,-77.8666666,2,-4.73
2012,-59.15,-75.8666666,12,-8.74
2012,-59.15,-75.8666666,11,-13.53
2012,-59.15,-75.8666666,10,-24.36
2012,-59.15,-75.8666666,2,-15.07
2012,-59.15,-75.8666666,9,-32.95
2012,-60.1666666,-72.2,10,-17.62
2012,-60.1666666,-72.2,5,-24.11
2012,-59.15,-75.8666666,1,-8.98
2012,-13.05,-82.7666666,3,-38.62
2012,-13.05,-82.7666666,4,-47.82
2012,-13.05,-82.7666666,5,-51.71
2012,-13.05,-82.7666666,6,-43.36
2012,-13.05,-82.7666666,7,-54.16
2012,-13.05,-82.7666666,8,-52.17
2012,-13.05,-82.7666666,9,-48.7
2012,-13.05,-82.7666666,10,-39.57
2012,-13.05,-82.7666666,11,-26.53
2012,-13.3833333,-73.05,9,-20.07
2012,-60.1666666,-72.2,11,-11.39
2012,-60.1666666,-72.2,8,-28.16
2012,-68.2833333,-71.3166666,9,-12.97
2012,-34.6166666,-77.8666666,3,-11.47
2012,-68.2833333,-71.3166666,7,-13.99
2012,0.0,-75.0,1,-25.99
2012,145.8666666,-75.5333333,11,-35.13
2012,145.8666666,-75.5333333,12,-24.08
2012,-13.3833333,-73.05,8,-13.86
2012,-26.2722222,-75.61,2,-8.79
2012,-13.3833333,-73.05,7,-8.0
2012,-13.3833333,-73.05,6,-6.51
2012,-13.3833333,-73.05,5,-14.94
2012,-13.3833333,-73.05,4,-20.07
2012,-13.3833333,-73.05,3,-13.86
2012,106.8666666,-78.45,9,-69.76
2012,-13.3833333,-73.05,2,-8.0
2012,-13.3833333,-73.05,1,-6.51
2012,-13.3833333,-73.05,11,-7.66
2012,-26.2722222,-75.61,1,-6.56
2012,0.0,-75.0,2,-29.24
2012,-1.0166666,-89.0,12,-20.58
2012,0.0,-75.0,3,-42.64
2012,0.0,-75.0,5,-45.52
2012,145.8666666,-75.5333333,3,-49.86
2012,145.8666666,-75.5333333,4,-55.76
2012,145.8666666,-75.5333333,5,-52.47
2012,145.8666666,-75.5333333,6,-49.74
2012,145.8666666,-75.5333333,7,-56.43
2012,145.8666666,-75.5333333,8,-61.68
2012,145.8666666,-75.5333333,9,-56.11
2012,145.8666666,-75.5333333,10,-47.61
2012,0.0,-75.0,12,-23.19
2012,0.0,-75.0,11,-28.63
2012,0.0,-75.0,10,-39.53
2012,0.0,-75.0,9,-47.26
2012,0.0,-75.0,8,-51.84
2012,0.0,-75.0,7,-56.44
2012,0.0,-75.0,6,-45.98
2012,0.0,-75.0,4,-50.58
2012,-68.2833333,-71.3166666,8,-13.49
2012,-1.0166666,-89.0,11,-33.02
2012,-1.0166666,-89.0,9,-59.77
2012,-68.2833333,-71.3166666,6,-17.34
2012,-68.2833333,-71.3166666,5,-9.33
2012,-68.2833333,-71.3166666,4,-9.51
2012,-68.2833333,-71.3166666,3,-5.74
2012,-68.2833333,-71.3166666,2,-3.77
2012,-68.2833333,-71.3166666,1,-1.47
2012,-26.2722222,-75.61,6,-21.56
2012,-1.0166666,-89.0,10,-48.65
2012,-26.2722222,-75.61,3,-16.79
2012,-26.2722222,-75.61,4,-27.3
2012,-26.2722222,-75.61,5,-26.25
2012,-26.2722222,-75.61,7,-32.84
2012,-26.2722222,-75.61,12,-4.94
2012,-26.2722222,-75.61,9,-28.07
2012,-26.2722222,-75.61,10,-16.12
2012,-26.2722222,-75.61,11,-10.54
2012,-13.3833333,-73.05,12,-4.77
2012,-1.0166666,-89.0,1,-25.0
2012,-1.0166666,-89.0,2,-38.12
2012,-1.0166666,-89.0,8,-61.38
2012,-1.0166666,-89.0,3,-50.02
2012,-1.0166666,-89.0,4,-59.37
2012,-1.0166666,-89.0,5,-58.19
2012,-1.0166666,-89.0,7,-59.93
2012,-26.2722222,-75.61,8,-32.97
2012,-1.0166666,-89.0,6,-56.82
2013,106.8666666,-78.45,3,-61.21
2013,106.8666666,-78.45,4,-64.02
2013,106.8666666,-78.45,9,-59.36
2013,106.8666666,-78.45,6,-61.13
2013,106.8666666,-78.45,7,-64.72
2013,106.8666666,-78.45,8,-62.81
2013,106.8666666,-78.45,10,-55.67
2013,106.8666666,-78.45,1,-32.31
2013,106.8666666,-78.45,5,-67.67
2013,106.8666666,-78.45,2,-47.23
2013,-71.4833333,-74.8,1,-12.89
2013,106.8666666,-78.45,12,-30.48
2013,123.3666666,-75.1166666,4,-61.84
2013,123.3666666,-75.1166666,5,-63.31
2013,123.3666666,-75.1166666,6,-64.52
2013,123.3666666,-75.1166666,7,-66.57
2013,123.3666666,-75.1166666,8,-62.02
2013,123.3666666,-75.1166666,9,-54.81
2013,123.3666666,-75.1166666,10,-49.89
2013,145.8666666,-75.5333333,12,-24.45
2013,145.8666666,-75.5333333,11,-37.22
2013,123.3666666,-75.1166666,3,-54.08
2013,145.8666666,-75.5333333,10,-47.07
2013,145.8666666,-75.5333333,8,-51.57
2013,145.8666666,-75.5333333,7,-56.7
2013,145.8666666,-75.5333333,5,-57.69
2013,145.8666666,-75.5333333,4,-54.68
2013,145.8666666,-75.5333333,3,-49.45
2013,145.8666666,-75.5333333,2,-38.68
2013,145.8666666,-75.5333333,1,-26.14
2013,123.3666666,-75.1166666,11,-37.53
2013,123.3666666,-75.1166666,12,-25.86
2013,145.8666666,-75.5333333,9,-50.22
2013,106.8666666,-78.45,11,-39.7
2013,123.3666666,-75.1166666,2,-42.3
2013,-68.2833333,-71.3166666,1,-0.67
2013,-71.4833333,-74.8,10,-22.28
2013,-71.4833333,-74.8,9,-27.32
2013,-71.4833333,-74.8,8,-28.89
2013,-71.4833333,-74.8,7,-28.66
2013,-71.4833333,-74.8,6,-27.23
2013,-71.4833333,-74.8,5,-25.81
2013,-71.4833333,-74.8,4,-20.63
2013,-71.4833333,-74.8,3,-14.82
2013,-71.4833333,-74.8,2,-12.86
2013,123.3666666,-75.1166666,1,-27.26
2013,-68.2833333,-71.3166666,12,-3.52
2013,-68.2833333,-71.3166666,10,-11.29
2013,-68.2833333,-71.3166666,9,-16.02
2013,-68.2833333,-71.3166666,8,-13.79
2013,-68.2833333,-71.3166666,7,-17.15
2013,-68.2833333,-71.3166666,6,-17.64
2013,-68.2833333,-71.3166666,5,-14.14
2013,-68.2833333,-71.3166666,4,-5.49
2013,-68.2833333,-71.3166666,3,-4.13
2013,-68.2833333,-71.3166666,2,-1.37
2013,-68.2833333,-71.3166666,11,-8.62
2013,145.8666666,-75.5333333,6,-55.03
2013,39.7,-77.3166666,12,-32.19
2013,89.6666666,-89.0,11,-32.45
2013,-26.2722222,-75.61,5,-27.74
2013,-26.2722222,-75.61,6,-17.48
2013,-26.2722222,-75.61,7,-26.41
2013,-26.2722222,-75.61,8,-29.13
2013,-26.2722222,-75.61,9,-24.84
2013,-26.2722222,-75.61,10,-20.94
2013,-59.15,-75.8666666,12,-6.87
2013,-59.15,-75.8666666,10,-26.86
2013,-26.2722222,-75.61,12,-5.09
2013,-59.15,-75.8666666,9,-27.82
2013,-34.6166666,-77.8666666,2,-6.49
2013,-34.6166666,-77.8666666,3,-13.91
2013,-34.6166666,-77.8666666,4,-14.49
2013,-34.6166666,-77.8666666,5,-22.93
2013,-34.6166666,-77.8666666,6,-13.73
2013,-26.2722222,-75.61,4,-19.64
2013,-26.2722222,-75.61,3,-19.97
2013,-26.2722222,-75.61,2,-11.28
2013,-26.2722222,-75.61,1,-4.79
2013,-1.0166666,-89.0,3,-51.55
2013,-1.0166666,-89.0,2,-40.55
2013,-1.0166666,-89.0,1,-23.36
2013,-13.05,-82.7666666,12,-19.48
2013,-59.15,-75.8666666,11,-12.46
2013,-60.1666666,-72.2,12,-4.97
2013,-60.1666666,-72.2,11,-10.14
2013,-34.6166666,-77.8666666,7,-19.83
2013,-60.1666666,-72.2,10,-21.15
2013,-60.1666666,-72.2,8,-20.76
2013,-60.1666666,-72.2,7,-26.83
2013,-60.1666666,-72.2,6,-23.09
2013,-60.1666666,-72.2,5,-26.42
2013,-60.1666666,-72.2,4,-18.26
2013,-60.1666666,-72.2,2,-5.19
2013,-13.05,-82.7666666,11,-26.78
2013,-60.1666666,-72.2,9,-21.31
2013,-34.6166666,-77.8666666,8,-18.29
2013,-34.6166666,-77.8666666,9,-15.81
